task,method,raw_method,seed,accuracy,macro_f1,best_epoch,source_domain,target_domain,hidden_dims
speed_shift,ERM-SDAE,erm,42,0.44501466275659823,0.36074486866262223,9,N15_M07_F10,N09_M07_F10,512-256
speed_shift,Mixup-SDAE,mixup,42,0.4439149560117302,0.3706485553364795,9,N15_M07_F10,N09_M07_F10,512-256
speed_shift,CORAL-SDAE,coral,42,0.5153958944281525,0.43317806428042643,10,N15_M07_F10,N09_M07_F10,512-256
speed_shift,MMD-SDAE,mmd,42,0.5102639296187683,0.42242308751999075,7,N15_M07_F10,N09_M07_F10,512-256
speed_shift,DANN-SDAE,dann,42,0.4912023460410557,0.40790561627981914,7,N15_M07_F10,N09_M07_F10,512-256
speed_shift,Adaptive-SDAE-3M,proposed,42,0.6055718475073314,0.5541965125217545,10,N15_M07_F10,N09_M07_F10,640-320
speed_shift,ERM-SDAE,erm,7,0.4479472140762463,0.3490865491353495,9,N15_M07_F10,N09_M07_F10,512-256
speed_shift,Mixup-SDAE,mixup,7,0.4662756598240469,0.38515561681358723,10,N15_M07_F10,N09_M07_F10,512-256
speed_shift,CORAL-SDAE,coral,7,0.499266862170088,0.4073394118165142,9,N15_M07_F10,N09_M07_F10,512-256
speed_shift,MMD-SDAE,mmd,7,0.5106304985337243,0.4233664313377126,9,N15_M07_F10,N09_M07_F10,512-256
speed_shift,DANN-SDAE,dann,7,0.5032991202346041,0.4222748715903945,8,N15_M07_F10,N09_M07_F10,512-256
speed_shift,Adaptive-SDAE-3M,proposed,7,0.6118035190615836,0.5720132011055082,10,N15_M07_F10,N09_M07_F10,640-320
speed_shift,ERM-SDAE,erm,2024,0.4607771260997067,0.3803916074321088,9,N15_M07_F10,N09_M07_F10,512-256
speed_shift,Mixup-SDAE,mixup,2024,0.437683284457478,0.36081681266416643,9,N15_M07_F10,N09_M07_F10,512-256
speed_shift,CORAL-SDAE,coral,2024,0.5102639296187683,0.4283972514935221,9,N15_M07_F10,N09_M07_F10,512-256
speed_shift,MMD-SDAE,mmd,2024,0.5080645161290323,0.4146639975468925,6,N15_M07_F10,N09_M07_F10,512-256
speed_shift,DANN-SDAE,dann,2024,0.5238269794721407,0.43943034202199405,7,N15_M07_F10,N09_M07_F10,512-256
speed_shift,Adaptive-SDAE-3M,proposed,2024,0.6019061583577713,0.5559021152781485,10,N15_M07_F10,N09_M07_F10,640-320
load_shift,ERM-SDAE,erm,42,0.7269061583577713,0.6202450117408962,10,N15_M07_F10,N15_M01_F10,512-256
load_shift,Mixup-SDAE,mixup,42,0.7401026392961877,0.6653925445414255,10,N15_M07_F10,N15_M01_F10,512-256
load_shift,CORAL-SDAE,coral,42,0.7397360703812317,0.6358999327079129,10,N15_M07_F10,N15_M01_F10,512-256
load_shift,MMD-SDAE,mmd,42,0.7426686217008798,0.6468596857626797,9,N15_M07_F10,N15_M01_F10,512-256
load_shift,DANN-SDAE,dann,42,0.7283724340175953,0.6049108908737018,9,N15_M07_F10,N15_M01_F10,512-256
load_shift,Adaptive-SDAE-3M,proposed,42,0.7873900293255132,0.7747783955831046,10,N15_M07_F10,N15_M01_F10,640-320
load_shift,ERM-SDAE,erm,7,0.7331378299120235,0.630775222585234,9,N15_M07_F10,N15_M01_F10,512-256
load_shift,Mixup-SDAE,mixup,7,0.7386363636363636,0.6439508448639337,10,N15_M07_F10,N15_M01_F10,512-256
load_shift,CORAL-SDAE,coral,7,0.7320381231671554,0.6420219749999586,10,N15_M07_F10,N15_M01_F10,512-256
load_shift,MMD-SDAE,mmd,7,0.7305718475073314,0.6060840978939696,10,N15_M07_F10,N15_M01_F10,512-256
load_shift,DANN-SDAE,dann,7,0.7261730205278593,0.6103922585666604,10,N15_M07_F10,N15_M01_F10,512-256
load_shift,Adaptive-SDAE-3M,proposed,7,0.7991202346041055,0.8046821031234868,10,N15_M07_F10,N15_M01_F10,640-320
load_shift,ERM-SDAE,erm,2024,0.7250733137829912,0.6174496119433839,9,N15_M07_F10,N15_M01_F10,512-256
load_shift,Mixup-SDAE,mixup,2024,0.7518328445747801,0.663491888717973,9,N15_M07_F10,N15_M01_F10,512-256
load_shift,CORAL-SDAE,coral,2024,0.7379032258064516,0.6359315953133308,9,N15_M07_F10,N15_M01_F10,512-256
load_shift,MMD-SDAE,mmd,2024,0.7250733137829912,0.6127261181024622,8,N15_M07_F10,N15_M01_F10,512-256
load_shift,DANN-SDAE,dann,2024,0.7283724340175953,0.6200763778565319,9,N15_M07_F10,N15_M01_F10,512-256
load_shift,Adaptive-SDAE-3M,proposed,2024,0.7972873900293255,0.7927980392240394,10,N15_M07_F10,N15_M01_F10,640-320
radial_shift,ERM-SDAE,erm,42,0.5993401759530792,0.5273544491659145,10,N15_M07_F10,N15_M07_F04,512-256
radial_shift,Mixup-SDAE,mixup,42,0.5813782991202346,0.5274440095663846,10,N15_M07_F10,N15_M07_F04,512-256
radial_shift,CORAL-SDAE,coral,42,0.6008064516129032,0.5333915894365486,7,N15_M07_F10,N15_M07_F04,512-256
radial_shift,MMD-SDAE,mmd,42,0.6004398826979472,0.5265744672333371,10,N15_M07_F10,N15_M07_F04,512-256
radial_shift,DANN-SDAE,dann,42,0.5967741935483871,0.5208899637976724,8,N15_M07_F10,N15_M07_F04,512-256
radial_shift,Adaptive-SDAE-3M,proposed,42,0.6356304985337243,0.6730603056508984,8,N15_M07_F10,N15_M07_F04,512-256
radial_shift,ERM-SDAE,erm,7,0.6026392961876833,0.5312071915944889,9,N15_M07_F10,N15_M07_F04,512-256
radial_shift,Mixup-SDAE,mixup,7,0.5986070381231672,0.535655119985521,10,N15_M07_F10,N15_M07_F04,512-256
radial_shift,CORAL-SDAE,coral,7,0.5989736070381232,0.5246326467377574,10,N15_M07_F10,N15_M07_F04,512-256
radial_shift,MMD-SDAE,mmd,7,0.5960410557184751,0.5189906959259306,8,N15_M07_F10,N15_M07_F04,512-256
radial_shift,DANN-SDAE,dann,7,0.6015395894428153,0.5237494942800817,8,N15_M07_F10,N15_M07_F04,512-256
radial_shift,Adaptive-SDAE-3M,proposed,7,0.6535923753665689,0.6937736298680702,10,N15_M07_F10,N15_M07_F04,512-256
radial_shift,ERM-SDAE,erm,2024,0.5997067448680352,0.5311535824489682,9,N15_M07_F10,N15_M07_F04,512-256
radial_shift,Mixup-SDAE,mixup,2024,0.5982404692082112,0.5413458978020641,9,N15_M07_F10,N15_M07_F04,512-256
radial_shift,CORAL-SDAE,coral,2024,0.6026392961876833,0.5321160995936015,10,N15_M07_F10,N15_M07_F04,512-256
radial_shift,MMD-SDAE,mmd,2024,0.5964076246334311,0.5118120105616274,10,N15_M07_F10,N15_M07_F04,512-256
radial_shift,DANN-SDAE,dann,2024,0.5810117302052786,0.5049602614474598,6,N15_M07_F10,N15_M07_F04,512-256
radial_shift,Adaptive-SDAE-3M,proposed,2024,0.6407624633431085,0.6823330738007068,10,N15_M07_F10,N15_M07_F04,512-256
